,cnt
<s>,13198
If,159
it,3650
were,1149
love,193
might,572
be,3398
simple,30
single,29
on,1363
her,4750
side,137
alone,68
</s>,13198
She,911
was,4474
obliged,128
to,9635
go,253
the,9499
next,124
morning,193
for,2595
an,808
hour,123
or,896
two,342
Mrs,1204
Goddard,48
s,1662
but,1849
then,267
settled,77
that,3143
she,3163
should,635
return,95
Hartfield,129
make,300
a,5236
regular,18
visit,152
of,8385
some,450
days,99
My,153
first,377
wealth,8
and,8523
earth,9
They,274
dined,9
with,2233
us,222
last,245
But,554
you,2616
may,380
come,267
again,390
in,4266
cool,13
morrow,49
I,5041
suppose,126
have,2126
heard,208
handsome,71
letter,167
Mr,1282
Frank,157
Churchill,167
has,444
written,41
Weston,353
We,133
never,560
can,444
expect,45
prove,18
any,979
thing,495
upon,238
such,797
point,94
At,61
Marlborough,6
He,705
had,3019
very,1664
soon,408
after,321
their,812
engagement,90
ceased,15
got,66
employ,9
all,1624
he,2444
told,138
would,1340
follow,22
taken,87
place,183
You,407
are,641
making,81
most,418
disgraceful,3
connection,25
one,755
as,2699
your,642
family,185
unanimous,4
Pray,21
Knightley,317
said,835
Emma,684
who,564
been,1361
smiling,42
herself,552
through,97
great,425
part,126
this,770
speech,28
how,402
do,858
know,546
Martin,73
did,563
not,3423
speak,151
yesterday,49
Her,172
ideas,23
only,668
varied,5
much,776
am,667
those,157
witty,2
things,78
at,1829
every,677
body,197
service,32
A,195
walk,84
before,422
breakfast,37
does,185
me,973
good,582
And,338
will,867
tell,156
our,166
reason,92
added,82
about,378
The,645
refreshment,3
Randalls,71
absolutely,38
necessary,63
stupidest,2
fellow,35
Every,50
additional,10
day,331
unhappy,41
confidence,51
made,345
blow,9
more,905
dreadful,32
Anne,406
found,194
Captain,236
Benwick,53
getting,32
near,99
they,918
fairly,12
street,17
feel,166
delighted,54
idea,134
sister,324
law,49
It,624
cleared,11
away,254
instant,21
could,1472
imagine,67
read,66
there,658
consciousness,39
having,241
by,1366
mutual,20
trick,6
authority,15
his,2106
attend,26
perhaps,152
half,174
restrictions,3
designs,8
Sir,213
Walter,118
afterwards,87
second,51
boy,27
violently,3
same,209
lady,110
fingers,4
fondly,7
observed,46
How,151
playful,3
William,22
is,1871
His,134
nature,84
humanity,5
quite,384
enough,253
account,110
horses,40
believe,186
glad,102
we,427
danced,8
no,1135
longer,115
given,130
worlds,2
ever,352
give,288
another,195
bowed,8
Certainly,23
if,638
observe,32
people,151
always,363
live,55
when,640
annuity,4
paid,28
them,933
stout,5
healthy,5
hardly,130
forty,12
fool,8
shall,308
indeed,253
thought,352
subject,150
than,810
men,67
different,76
sort,137
sentiment,18
distinct,9
independent,15
Yes,133
Elliot,233
gentleman,77
large,66
fortune,89
came,203
night,80
from,1087
house,264
himself,290
without,389
thinking,89
many,251
advantages,16
accommodations,6
attached,36
its,271
size,19
judge,29
privations,3
inevitably,7
belonging,13
small,59
call,69
West,4
Indies,7
what,791
abilities,12
however,266
well,527
affections,22
now,517
doubtful,10
whether,109
cunning,4
hers,30
finally,10
carry,15
preventing,4
being,578
wife,131
into,292
Elinor,539
felt,241
equal,79
amazement,11
wrote,31
manner,140
perfectly,117
hurry,33
case,71
must,839
aware,44
my,1116
wish,207
remain,23
Lady,229
Russell,119
besides,31
really,228
so,1480
busy,21
conveniently,4
left,182
Kellynch,63
sooner,27
news,45
hear,166
back,141
rather,221
surprize,31
