,word1,word2,cnt
1 </s>,1,</s>,2
1 <UNK>,1,<UNK>,2
1 ends,1,ends,1
10 </s>,10,</s>,1
10 <UNK>,10,<UNK>,1
11 </s>,11,</s>,2
12 </s>,12,</s>,2
13 </s>,13,</s>,2
15 </s>,15,</s>,1
15 <UNK>,15,<UNK>,1
16 </s>,16,</s>,2
16 <UNK>,16,<UNK>,1
17 </s>,17,</s>,2
19 </s>,19,</s>,2
2 </s>,2,</s>,2
20 </s>,20,</s>,2
20 <UNK>,20,<UNK>,1
21 </s>,21,</s>,2
23 </s>,23,</s>,2
24 </s>,24,</s>,2
28th and,28th,and,2
4 </s>,4,</s>,2
5 </s>,5,</s>,2
5 <UNK>,5,<UNK>,1
5 I,5,I,1
6 </s>,6,</s>,2
7 </s>,7,</s>,2
9 </s>,9,</s>,2
9 <UNK>,9,<UNK>,1
</s> </s>,</s>,</s>,1
</s> <s>,</s>,<s>,13197
<UNK> 28th,<UNK>,28th,1
<UNK> </s>,<UNK>,</s>,312
<UNK> <UNK>,<UNK>,<UNK>,109
<UNK> A,<UNK>,A,1
<UNK> And,<UNK>,And,1
<UNK> Anne,<UNK>,Anne,3
<UNK> Before,<UNK>,Before,1
<UNK> But,<UNK>,But,1
<UNK> Captain,<UNK>,Captain,1
<UNK> Charles,<UNK>,Charles,2
<UNK> Cobb,<UNK>,Cobb,1
<UNK> Colonel,<UNK>,Colonel,1
<UNK> Combe,<UNK>,Combe,1
<UNK> Dashwood,<UNK>,Dashwood,1
<UNK> Delightful,<UNK>,Delightful,1
<UNK> Did,<UNK>,Did,1
<UNK> Does,<UNK>,Does,1
<UNK> Edward,<UNK>,Edward,1
<UNK> Elinor,<UNK>,Elinor,1
<UNK> Elizabeth,<UNK>,Elizabeth,1
<UNK> Emma,<UNK>,Emma,3
<UNK> English,<UNK>,English,1
<UNK> Esq,<UNK>,Esq,1
<UNK> Every,<UNK>,Every,1
<UNK> F,<UNK>,F,1
<UNK> French,<UNK>,French,1
<UNK> God,<UNK>,God,1
<UNK> HIM,<UNK>,HIM,1
<UNK> HIS,<UNK>,HIS,1
<UNK> Hartfield,<UNK>,Hartfield,1
<UNK> He,<UNK>,He,1
<UNK> How,<UNK>,How,1
<UNK> I,<UNK>,I,36
<UNK> It,<UNK>,It,2
<UNK> Jane,<UNK>,Jane,2
<UNK> Kellynch,<UNK>,Kellynch,2
<UNK> Knightley,<UNK>,Knightley,1
<UNK> Lane,<UNK>,Lane,2
<UNK> London,<UNK>,London,3
<UNK> Lyme,<UNK>,Lyme,1
<UNK> March,<UNK>,March,1
<UNK> Marianne,<UNK>,Marianne,3
<UNK> Mary,<UNK>,Mary,3
<UNK> Miss,<UNK>,Miss,4
<UNK> Mr,<UNK>,Mr,2
<UNK> Mrs,<UNK>,Mrs,4
<UNK> Must,<UNK>,Must,1
<UNK> Oh,<UNK>,Oh,1
<UNK> Partridge,<UNK>,Partridge,1
<UNK> Place,<UNK>,Place,1
<UNK> Pleasant,<UNK>,Pleasant,2
<UNK> Room,<UNK>,Room,1
<UNK> SHE,<UNK>,SHE,1
