,cnt,MLE
If,159,-10.8702346630867
it,3650,-6.358086804539178
were,1149,-8.024744612142324
love,193,-10.592249915786935
might,572,-9.029771429217156
be,3398,-6.46126811143239
simple,30,-13.237966447587187
single,29,-13.285272162365544
on,1363,-7.77853482894989
her,4750,-5.978147266563218
side,137,-11.083638301195892
alone,68,-12.083638301195892
She,911,-8.35927274380932
was,4474,-6.064490790935081
obliged,128,-11.180935502550808
to,9635,-4.957944079735591
go,253,-10.203478071201896
the,9499,-4.97845095986839
next,124,-11.226378473311975
morning,193,-10.592249915786935
for,2595,-6.850088089974923
an,808,-8.532166865544085
hour,123,-11.237966447587187
or,896,-8.383198583054801
two,342,-9.770097991801249
Mrs,1204,-7.957345326856738
Goddard,48,-12.577452913858854
s,1662,-7.492590304686793
but,1849,-7.338853202570387
then,267,-10.12607356751629
settled,77,-11.906760539111813
that,3143,-6.573777255715456
she,3163,-6.56462887350127
should,635,-8.879279802689707
return,95,-11.607200257252906
Hartfield,129,-11.169794944945608
make,300,-9.95854308121436
a,5236,-5.837637868524711
regular,18,-13.944235244530477
visit,152,-10.93477491528141
of,8385,-5.1583956431276725
some,450,-9.375179134718682
days,99,-11.548306568199337
My,153,-10.92537621727916
first,377,-9.62992033375299
wealth,8,-15.02223775653175
and,8523,-5.134847880191359
earth,9,-14.8702346630867
They,274,-10.08887494956204
dined,9,-14.8702346630867
with,2233,-7.066749287490747
us,222,-10.391262858053757
last,245,-10.249648252634822
But,554,-9.075818796736593
you,2616,-6.838464548926027
may,380,-9.61851557048074
come,267,-10.12607356751629
again,390,-9.581137960666709
in,4266,-6.133156362772951
cool,13,-14.384807835916458
morrow,49,-12.548306568199337
I,5041,-5.892382355115522
suppose,126,-11.203478071201896
have,2126,-7.13755844001339
heard,208,-10.484803625893178
handsome,71,-12.02223775653175
letter,167,-10.799845335195302
Mr,1282,-7.866857302884379
Frank,157,-10.88838200979696
Churchill,167,-10.799845335195302
has,444,-9.394501232120302
written,41,-12.799845335195302
Weston,353,-9.724557207891065
We,133,-11.12607356751629
never,560,-9.060305797365269
can,444,-9.394501232120302
expect,45,-12.66860080191705
prove,18,-13.944235244530477
any,979,-8.255524818971491
thing,495,-9.237966447587187
upon,238,-10.291295949993314
such,797,-8.551917821751717
point,94,-11.622307149643113
At,61,-12.237966447587187
Marlborough,6,-15.384807835916458
He,705,-8.728638384702881
had,3019,-6.631829923761621
very,1664,-7.490856296015437
soon,408,-9.516205725032313
after,321,-9.861245879859444
their,812,-8.525051215899033
engagement,90,-11.684368117775366
ceased,15,-14.192162757974062
got,66,-12.12607356751629
employ,9,-14.8702346630867
all,1624,-7.525938755170882
he,2444,-6.936544008134466
told,138,-11.073221685250555
would,1340,-7.803069236069588
follow,22,-13.66860080191705
taken,87,-11.732731139336765
place,183,-10.66860080191705
You,407,-9.519737416002567
are,641,-8.86573327085176
making,81,-11.834610753355978
most,418,-9.48135632427471
disgraceful,3,-16.19216275797406
connection,25,-13.49172303983297
one,755,-8.62992033375299
as,2699,-6.793419066035868
your,642,-8.863487830646115
family,185,-10.653003946866031
unanimous,4,-15.8702346630867
Pray,21,-13.732731139336765
Knightley,317,-9.879279802689707
said,835,-8.484803625893178
Emma,684,-8.772202580126173
who,564,-9.050055700671512
been,1361,-7.780651769961991
smiling,42,-12.765898003271964
herself,552,-9.081027087739354
through,97,-11.577452913858854
great,425,-9.457453137748224
part,126,-11.203478071201896
this,770,-8.601575708059027
speech,28,-13.33418176284649
how,402,-9.537526729446094
do,858,-8.445648436835599
know,546,-9.096765735181505
Martin,73,-11.982709392345113
did,563,-9.052611405575268
not,3423,-6.450695771572915
speak,151,-10.944235244530477
yesterday,49,-12.548306568199337
Her,172,-10.757534530337336
ideas,23,-13.607200257252906
only,668,-8.806300357332601
varied,5,-15.607200257252906
much,776,-8.590391969566351
am,667,-8.80845846550001
those,157,-10.88838200979696
witty,2,-16.607200257252906
things,78,-11.88838200979696
at,1829,-7.354534824802657
every,677,-8.787021294837718
body,197,-10.562806137894452
service,32,-13.147768638615608
A,195,-10.577452913858854
walk,84,-11.78277182183636
before,422,-9.467648904854112
breakfast,37,-12.944235244530477
does,185,-10.653003946866031
me,973,-8.26438479589172
good,582,-9.004810684773565
And,338,-9.787021294837718
will,867,-8.430611525529583
tell,156,-10.897542009082434
our,166,-10.80845846550001
reason,92,-11.653003946866031
added,82,-11.817123326627136
about,378,-9.62610871980297
The,645,-8.856772403280138
refreshment,3,-16.19216275797406
Randalls,71,-12.02223775653175
absolutely,38,-12.906760539111813
necessary,63,-12.192162757974062
stupidest,2,-16.607200257252906
fellow,35,-13.02223775653175
Every,50,-12.519737416002567
additional,10,-14.732731139336765
day,331,-9.817123326627136
unhappy,41,-12.799845335195302
confidence,51,-12.49172303983297
made,345,-9.757534530337336
blow,9,-14.8702346630867
more,905,-8.368795517927827
dreadful,32,-13.147768638615608
Anne,406,-9.523277773707814
found,194,-10.584832444224451
Captain,236,-10.303419509075802
Benwick,53,-12.437275255810594
getting,32,-13.147768638615608
near,99,-11.548306568199337
they,918,-8.348241706685027
fairly,12,-14.49172303983297
street,17,-14.02223775653175
feel,166,-10.80845846550001
delighted,54,-12.410803044449402
idea,134,-11.11534716092323
sister,324,-9.847866850058246
law,49,-12.548306568199337
It,624,-8.904450378424613
cleared,11,-14.607200257252906
away,254,-10.197809321115203
instant,21,-13.732731139336765
could,1472,-7.667621042938213
imagine,67,-12.104699916723723
read,66,-12.12607356751629
there,658,-8.82802810296601
consciousness,39,-12.8702346630867
having,241,-10.273299520699467
